Y,X1,X2,X3
184769984,266,886,784
144439050,911,453,350
5308016,14,571,664
217967064,457,668,714
219832326,882,753,331
303417540,804,543,695
97435728,584,279,598
1434720,427,168,20
25387630,302,989,85
70805000,500,490,289
65688480,88,858,870
176897393,391,929,487
4571780,38,227,530
32303664,86,376,999
96422794,167,838,689
63778624,658,208,466
84277194,163,822,629
9430200,50,468,403
148132880,713,265,784
194749905,651,335,893
106898688,387,416,664
684012000,850,840,958
19755909,499,249,159
8444172,901,132,71
27006460,130,862,241
57677312,484,608,196
46185048,114,742,546
19911864,938,732,29
10410120,324,210,153
202806090,305,738,901
86788800,300,392,738
256271784,402,788,809
133220220,735,226,802
81541350,306,825,323
25787688,246,292,359
60540060,427,510,278
53649156,123,506,862
326484800,419,800,974
67200658,518,301,431
9087962,709,493,26
43209840,430,316,318
112820400,666,700,242
289241982,909,543,586
62710276,229,446,614
399606400,604,800,827
23644860,127,870,214
50542525,275,239,769
840960,180,146,32
209913280,376,680,821
70078326,487,174,827
2759264,163,184,92
18328380,476,453,85
38961000,296,405,325
21486024,958,801,28
338633449,683,517,959
203349355,397,737,695
27638260,442,962,65
55504980,690,327,246
277457796,724,869,441
243904920,293,840,991
3000024,152,129,153
86881680,657,435,304
782316,31,701,36
147404124,631,324,721
11440422,153,343,218
14485068,324,247,181
245656820,362,790,859
136945152,339,789,512
186392192,277,896,751
49687596,657,511,148
65993200,370,343,520
122361250,809,275,550
416902144,808,928,556
349802526,706,951,521
326195792,752,547,793
458301888,891,893,576
37364691,679,221,249
17588016,81,662,328
262353378,907,291,994
61508420,613,290,346
107882320,280,949,406
18254340,269,585,116
199377412,361,559,988
154977480,504,691,445
119653050,635,330,571
17517465,167,405,259
39652956,826,381,126
83643112,772,763,142
123218658,337,549,666
84741444,684,677,183
32109564,734,46,951
714273,113,301,21
33148920,798,155,268
306244125,565,803,675
7518114,153,79,622
21126420,405,414,126
54613440,588,774,120
412495362,841,879,558
6318900,765,590,14
1399658,101,169,82
7559244,252,303,99
7809120,580,612,22
521543477,791,871,757
65973960,254,333,780
137988900,441,700,447
280522680,395,762,932
259665300,681,930,410
2074644,682,13,234
137108100,710,410,471
1235718,237,869,6
2964468,6,806,613
111961732,202,643,862
32265870,273,223,530
43035840,765,64,879
8941590,57,581,270
20023948,566,361,98
22291050,859,346,75
458919846,971,558,847
3290464,16,214,961
69805800,540,465,278
29777600,503,592,100
26605440,496,894,60
125863605,477,359,735
309922668,852,803,453
81730220,340,451,533
11755296,816,42,343
150750242,743,886,229
644759655,939,719,955
52083864,444,133,882
170667000,945,516,350
58634380,940,931,67
3496800,620,30,188
28252640,578,376,130
53871818,497,286,379
2160390,93,505,46
386607000,920,975,431
2518245,5,963,523
32782698,369,871,102
159933620,935,287,596
52919412,483,196,559
316437212,967,812,403
102973630,941,706,155
10894788,423,94,274
6895200,780,20,442
